case_id,K,REF
outer_holdout_100000_negative,4689.489113,4689.489113
outer_holdout_100000_positive,4733.126666,4733.126666
outer_holdout_100000_smooth,4591.658687,4591.658687
outer_holdout_100000_spatial_hash,4432.977132,4432.977132
outer_holdout_100001_negative,3495.905129,3495.905129
outer_holdout_100001_positive,3400.775045,3400.775045
outer_holdout_100001_smooth,3419.109775,3419.109775
outer_holdout_100001_spatial_hash,3435.330009,3435.330009
outer_holdout_100002_negative,5911.597866,5917.597866
outer_holdout_100002_positive,5492.705685,5499.705685
outer_holdout_100002_smooth,6219.299782,6225.299782
outer_holdout_100002_spatial_hash,5544.49331,5551.49331
outer_holdout_100003_negative,3269.099641,3269.099641
outer_holdout_100003_positive,3000.439355,3000.439355
outer_holdout_100003_smooth,3089.229099,3089.229099
outer_holdout_100003_spatial_hash,3119.660888,3119.660888
outer_holdout_100004_negative,4170.825832,4170.825832
outer_holdout_100004_positive,4049.454643,4049.454643
outer_holdout_100004_smooth,4359.147392,4359.147392
outer_holdout_100004_spatial_hash,4038.961191,4038.961191
outer_holdout_100005_negative,3519.909829,3519.909829
outer_holdout_100005_positive,3316.213659,3316.213659
outer_holdout_100005_smooth,3391.230988,3391.230988
outer_holdout_100005_spatial_hash,3360.687281,3360.687281
outer_holdout_100006_negative,6490.16329,6490.16329
outer_holdout_100006_positive,5737.185071,5737.185071
outer_holdout_100006_smooth,5634.570806,5634.570806
outer_holdout_100006_spatial_hash,5589.352424,5589.352424
outer_holdout_100007_negative,2871.813257,2871.813257
outer_holdout_100007_positive,2694.090789,2694.090789
outer_holdout_100007_smooth,2705.100506,2705.100506
outer_holdout_100007_spatial_hash,2722.192201,2722.192201
outer_holdout_100008_negative,5417.377764,5417.377764
outer_holdout_100008_positive,5712.628813,5712.628813
outer_holdout_100008_smooth,5695.862955,5695.862955
outer_holdout_100008_spatial_hash,5761.733721,5761.733721
outer_holdout_100009_negative,3609.821324,3609.821324
outer_holdout_100009_positive,3595.185196,3595.185196
outer_holdout_100009_smooth,3639.501343,3639.501343
outer_holdout_100009_spatial_hash,3226.651864,3226.651864
outer_holdout_100010_negative,5261.004168,5261.004168
outer_holdout_100010_positive,5409.749163,5409.749163
outer_holdout_100010_smooth,5200.363933,5200.363933
outer_holdout_100010_spatial_hash,5570.658292,5570.658292
outer_holdout_100011_negative,3442.319465,3442.319465
outer_holdout_100011_positive,3410.282224,3410.282224
outer_holdout_100011_smooth,3427.502236,3427.502236
outer_holdout_100011_spatial_hash,3399.254445,3399.254445
outer_holdout_100012_negative,4369.17025,4369.17025
outer_holdout_100012_positive,4521.619165,4521.619165
outer_holdout_100012_smooth,4314.021614,4314.021614
outer_holdout_100012_spatial_hash,4229.491342,4229.491342
outer_holdout_100013_negative,3629.702948,3629.702948
outer_holdout_100013_positive,3197.193956,3197.193956
outer_holdout_100013_smooth,3625.449084,3625.449084
outer_holdout_100013_spatial_hash,3028.218418,3028.218418
outer_holdout_100014_negative,4785.166701,4785.166701
outer_holdout_100014_positive,4245.173075,4245.173075
outer_holdout_100014_smooth,4270.747072,4270.747072
outer_holdout_100014_spatial_hash,4473.33083,4473.33083
outer_holdout_100015_negative,3363.65364,3363.65364
outer_holdout_100015_positive,3314.142188,3314.142188
outer_holdout_100015_smooth,3385.3192,3385.3192
outer_holdout_100015_spatial_hash,3328.073467,3328.073467
outer_holdout_100016_negative,6034.222854,6040.222854
outer_holdout_100016_positive,5714.690909,5720.690909
outer_holdout_100016_smooth,5706.109096,5712.109096
outer_holdout_100016_spatial_hash,5673.227857,5679.227857
outer_holdout_100017_negative,3586.983208,3586.983208
outer_holdout_100017_positive,3527.013328,3527.013328
outer_holdout_100017_smooth,3477.628599,3477.628599
outer_holdout_100017_spatial_hash,3552.336189,3552.336189
outer_holdout_100018_negative,6076.327305,6076.327305
outer_holdout_100018_positive,5934.802975,5934.802975
outer_holdout_100018_smooth,4973.019252,4973.019252
outer_holdout_100018_spatial_hash,5905.666636,5905.666636
outer_holdout_100019_negative,2838.63277,2838.63277
outer_holdout_100019_positive,2720.888296,2720.888296
outer_holdout_100019_smooth,2806.878731,2806.878731
outer_holdout_100019_spatial_hash,3314.706531,3314.706531
