case_id,D,DK,DU,K,REF,U
outer_holdout_80000_negative,5610.318121,5610.318121,5610.318121,5623.717334,5623.717334,5623.717334
outer_holdout_80000_positive,5653.924824,5653.924824,5653.924824,5660.391815,5660.391815,5660.391815
outer_holdout_80000_smooth,5799.143029,5799.143029,5799.143029,5806.370045,5806.370045,5806.370045
outer_holdout_80000_spatial_hash,5530.164466,5530.164466,5530.164466,5529.20666,5529.20666,5529.20666
outer_holdout_80001_negative,3048.003084,3048.003084,3048.003084,3071.136475,3071.136475,3071.136475
outer_holdout_80001_positive,3106.461072,3106.461072,3106.461072,3119.156037,3119.156037,3119.156037
outer_holdout_80001_smooth,3127.203735,3127.203735,3127.203735,3129.671831,3129.671831,3129.671831
outer_holdout_80001_spatial_hash,2957.247873,2957.247873,2957.247873,2958.490251,2958.490251,2958.490251
outer_holdout_80002_negative,4891.541208,4891.541208,4891.541208,4916.432354,4916.432354,4916.432354
outer_holdout_80002_positive,5093.162912,5093.162912,5093.162912,5097.972876,5097.972876,5097.972876
outer_holdout_80002_smooth,4886.001594,4886.001594,4886.001594,4894.067658,4894.067658,4894.067658
outer_holdout_80002_spatial_hash,4890.709615,4890.709615,4890.709615,4887.94045,4887.94045,4887.94045
outer_holdout_80003_negative,3072.763299,3072.763299,3072.763299,3070.791395,3070.791395,3070.791395
outer_holdout_80003_positive,3063.590856,3063.590856,3063.590856,3071.778317,3071.778317,3071.778317
outer_holdout_80003_smooth,2894.059037,2894.059037,2894.059037,2894.21202,2894.21202,2894.21202
outer_holdout_80003_spatial_hash,2934.65175,2934.65175,2934.65175,2934.65175,2934.65175,2934.65175
outer_holdout_80004_negative,5123.852993,5123.852993,5123.852993,5132.510957,5132.510957,5132.510957
outer_holdout_80004_positive,4417.97426,4417.97426,4417.97426,4415.792485,4415.792485,4415.792485
outer_holdout_80004_smooth,4389.115737,4389.115737,4389.115737,4386.873335,4386.873335,4386.873335
outer_holdout_80004_spatial_hash,5057.14746,5057.14746,5057.14746,5056.449107,5056.449107,5056.449107
outer_holdout_80005_negative,2948.988453,2948.988453,2948.988453,2979.434823,2979.434823,2979.434823
outer_holdout_80005_positive,2945.44193,2945.44193,2945.44193,2949.360183,2949.360183,2949.360183
outer_holdout_80005_smooth,2966.12925,2966.12925,2966.12925,2966.12925,2966.12925,2966.12925
outer_holdout_80005_spatial_hash,3074.154728,3074.154728,3074.154728,3074.154728,3074.154728,3074.154728
outer_holdout_80006_negative,4828.409412,4828.409412,4828.409412,4851.366881,4851.366881,4851.366881
outer_holdout_80006_positive,4451.236626,4451.236626,4451.236626,4461.880664,4461.880664,4461.880664
outer_holdout_80006_smooth,4851.978885,4851.978885,4851.978885,4849.847474,4849.847474,4849.847474
outer_holdout_80006_spatial_hash,4582.97434,4582.97434,4582.97434,4583.071584,4583.071584,4583.071584
outer_holdout_80007_negative,3131.668993,3131.668993,3131.668993,3131.668993,3131.668993,3131.668993
outer_holdout_80007_positive,3021.670262,3021.670262,3021.670262,3021.670262,3021.670262,3021.670262
outer_holdout_80007_smooth,3071.317434,3071.317434,3071.317434,3071.317434,3071.317434,3071.317434
outer_holdout_80007_spatial_hash,3040.121438,3040.121438,3040.121438,3040.121438,3040.121438,3040.121438
outer_holdout_80008_negative,5025.691805,5025.691805,5025.691805,5033.857465,5033.857465,5033.857465
outer_holdout_80008_positive,4872.268522,4872.268522,4872.268522,4882.364178,4882.364178,4882.364178
outer_holdout_80008_smooth,4813.049688,4813.049688,4813.049688,4754.378912,4754.378912,4754.378912
outer_holdout_80008_spatial_hash,4982.203704,4982.203704,4982.203704,4980.110358,4980.110358,4980.110358
outer_holdout_80009_negative,3453.661677,1771.006664,3453.661677,1777.847956,3460.502969,3460.502969
outer_holdout_80009_positive,3397.917459,1703.04162,3397.917459,1704.328303,3400.034781,3400.034781
outer_holdout_80009_smooth,3409.848563,1715.966516,3409.848563,1723.559801,3416.926838,3416.926838
outer_holdout_80009_spatial_hash,3405.189895,1724.176614,3405.189895,1725.166834,3405.92008,3405.92008
outer_holdout_80010_negative,4706.30782,4706.30782,4706.30782,4722.618994,4722.618994,4722.618994
outer_holdout_80010_positive,4569.714197,4569.714197,4569.714197,4577.300069,4577.300069,4577.300069
outer_holdout_80010_smooth,4603.233633,4603.233633,4603.233633,4603.207575,4603.207575,4603.207575
outer_holdout_80010_spatial_hash,4462.910417,4462.910417,4462.910417,4467.119851,4467.119851,4467.119851
outer_holdout_80011_negative,3272.540262,3272.540262,3272.540262,3295.237575,3295.237575,3295.237575
outer_holdout_80011_positive,3122.975248,3122.975248,3122.975248,3122.330626,3122.330626,3122.330626
outer_holdout_80011_smooth,3158.498168,3158.498168,3158.498168,3158.498168,3158.498168,3158.498168
outer_holdout_80011_spatial_hash,3215.480808,3215.480808,3215.480808,3215.75124,3215.75124,3215.75124
outer_holdout_80012_negative,4340.346847,4340.346847,4340.346847,4352.085402,4352.085402,4352.085402
outer_holdout_80012_positive,4630.907789,4630.907789,4630.907789,4642.288684,4642.288684,4642.288684
outer_holdout_80012_smooth,4331.569087,4331.569087,4331.569087,4328.642567,4328.642567,4328.642567
outer_holdout_80012_spatial_hash,4308.678156,4308.678156,4308.678156,4311.721541,4311.721541,4311.721541
outer_holdout_80013_negative,3445.414177,3445.414177,3445.414177,3445.414177,3445.414177,3445.414177
outer_holdout_80013_positive,3268.783853,3268.783853,3268.783853,3268.783853,3268.783853,3268.783853
outer_holdout_80013_smooth,3347.189228,3347.189228,3347.189228,3347.189228,3347.189228,3347.189228
outer_holdout_80013_spatial_hash,3297.144701,3297.144701,3297.144701,3297.144701,3297.144701,3297.144701
outer_holdout_80014_negative,5178.751798,5178.751798,5178.751798,5178.751798,5178.751798,5178.751798
outer_holdout_80014_positive,5127.592416,5127.592416,5127.592416,5127.592416,5127.592416,5127.592416
outer_holdout_80014_smooth,5201.427739,5201.427739,5201.427739,5201.427739,5201.427739,5201.427739
outer_holdout_80014_spatial_hash,5148.365437,5148.365437,5148.365437,5148.365437,5148.365437,5148.365437
outer_holdout_80015_negative,2874.578207,2874.578207,2874.578207,2874.578207,2874.578207,2874.578207
outer_holdout_80015_positive,2884.693031,2884.693031,2884.693031,2884.693031,2884.693031,2884.693031
outer_holdout_80015_smooth,2877.17308,2877.17308,2877.17308,2877.17308,2877.17308,2877.17308
outer_holdout_80015_spatial_hash,2884.711385,2884.711385,2884.711385,2884.711385,2884.711385,2884.711385
outer_holdout_80016_negative,4826.931035,4826.931035,4826.931035,4854.586028,4854.586028,4854.586028
outer_holdout_80016_positive,4932.681024,4932.681024,4932.681024,4931.904125,4931.904125,4931.904125
outer_holdout_80016_smooth,4985.349089,4985.349089,4985.349089,4991.784472,4991.784472,4991.784472
outer_holdout_80016_spatial_hash,4593.949907,4593.949907,4593.949907,4596.374612,4596.374612,4596.374612
outer_holdout_80017_negative,2657.159516,2657.159516,2657.159516,2662.041498,2662.041498,2662.041498
outer_holdout_80017_positive,2654.769093,2654.769093,2654.769093,2659.08699,2659.08699,2659.08699
outer_holdout_80017_smooth,2643.50046,2643.50046,2643.50046,2642.905267,2642.905267,2642.905267
outer_holdout_80017_spatial_hash,2658.426718,2658.426718,2658.426718,2658.426718,2658.426718,2658.426718
outer_holdout_80018_negative,5084.648466,5084.648466,5084.648466,5090.702984,5090.702984,5090.702984
outer_holdout_80018_positive,5481.861226,5481.861226,5481.861226,5513.590781,5513.590781,5513.590781
outer_holdout_80018_smooth,5594.693371,5594.693371,5594.693371,5606.766995,5606.766995,5606.766995
outer_holdout_80018_spatial_hash,4778.317039,4778.317039,4778.317039,4779.557365,4779.557365,4779.557365
outer_holdout_80019_negative,2983.218209,2983.218209,2983.218209,2983.218209,2983.218209,2983.218209
outer_holdout_80019_positive,2751.628994,2751.628994,2751.628994,2753.370962,2753.370962,2753.370962
outer_holdout_80019_smooth,2772.419783,2772.419783,2772.419783,2775.679235,2775.679235,2775.679235
outer_holdout_80019_spatial_hash,2818.318727,2818.318727,2818.318727,2824.367353,2824.367353,2824.367353
