case_id,D,DK,DU,K,REF,U
outer_holdout_80000_negative,5159.796908,5159.796908,5159.796908,5174.196514,5174.196514,5174.196514
outer_holdout_80000_positive,5877.103169,5877.103169,5877.103169,5877.498615,5877.498615,5877.498615
outer_holdout_80000_smooth,5799.143029,5799.143029,5799.143029,5806.370045,5806.370045,5806.370045
outer_holdout_80000_spatial_hash,5530.164466,5530.164466,5530.164466,5529.20666,5529.20666,5529.20666
outer_holdout_80001_negative,3048.033966,3048.033966,3048.033966,3071.163653,3071.163653,3071.163653
outer_holdout_80001_positive,2959.241722,2959.241722,2959.241722,2973.762502,2973.762502,2973.762502
outer_holdout_80001_smooth,3127.203735,3127.203735,3127.203735,3129.671831,3129.671831,3129.671831
outer_holdout_80001_spatial_hash,2957.247873,2957.247873,2957.247873,2958.490251,2958.490251,2958.490251
outer_holdout_80002_negative,4891.522623,4891.522623,4891.522623,4916.414078,4916.414078,4916.414078
outer_holdout_80002_positive,4981.667794,4981.667794,4981.667794,4989.58975,4989.58975,4989.58975
outer_holdout_80002_smooth,4886.001594,4886.001594,4886.001594,4894.067658,4894.067658,4894.067658
outer_holdout_80002_spatial_hash,4890.709615,4890.709615,4890.709615,4887.94045,4887.94045,4887.94045
outer_holdout_80003_negative,3500.232437,3500.232437,3500.232437,3562.176466,3562.176466,3562.176466
outer_holdout_80003_positive,3161.04612,3161.04612,3161.04612,3179.71036,3179.71036,3179.71036
outer_holdout_80003_smooth,2894.037225,2894.037225,2894.037225,2894.190208,2894.190208,2894.190208
outer_holdout_80003_spatial_hash,2934.65175,2934.65175,2934.65175,2934.65175,2934.65175,2934.65175
outer_holdout_80004_negative,5123.237694,5123.237694,5123.237694,5139.14686,5139.14686,5139.14686
outer_holdout_80004_positive,4261.257038,4261.257038,4261.257038,4267.723379,4267.723379,4267.723379
outer_holdout_80004_smooth,4389.115737,4389.115737,4389.115737,4386.873335,4386.873335,4386.873335
outer_holdout_80004_spatial_hash,5057.14746,5057.14746,5057.14746,5056.449107,5056.449107,5056.449107
outer_holdout_80005_negative,3533.159029,3533.159029,3533.159029,3554.68199,3554.68199,3554.68199
outer_holdout_80005_positive,2954.013661,2954.013661,2954.013661,2955.03533,2955.03533,2955.03533
outer_holdout_80005_smooth,2966.12925,2966.12925,2966.12925,2966.12925,2966.12925,2966.12925
outer_holdout_80005_spatial_hash,3074.154728,3074.154728,3074.154728,3074.154728,3074.154728,3074.154728
outer_holdout_80006_negative,4486.769456,4486.769456,4486.769456,4502.447238,4502.447238,4502.447238
outer_holdout_80006_positive,4451.193508,4451.193508,4451.193508,4461.837935,4461.837935,4461.837935
outer_holdout_80006_smooth,4851.978885,4851.978885,4851.978885,4849.847474,4849.847474,4849.847474
outer_holdout_80006_spatial_hash,4582.97434,4582.97434,4582.97434,4583.071584,4583.071584,4583.071584
outer_holdout_80007_negative,3152.906381,3152.906381,3152.906381,3152.906381,3152.906381,3152.906381
outer_holdout_80007_positive,3014.005569,3014.005569,3014.005569,3014.005569,3014.005569,3014.005569
outer_holdout_80007_smooth,3071.283298,3071.283298,3071.283298,3071.283298,3071.283298,3071.283298
outer_holdout_80007_spatial_hash,3040.121438,3040.121438,3040.121438,3040.121438,3040.121438,3040.121438
outer_holdout_80008_negative,5025.726477,5025.726477,5025.726477,5033.892366,5033.892366,5033.892366
outer_holdout_80008_positive,4945.215524,4945.215524,4945.215524,4952.338485,4952.338485,4952.338485
outer_holdout_80008_smooth,4813.040596,4813.040596,4813.040596,4754.372177,4754.372177,4754.372177
outer_holdout_80008_spatial_hash,4982.203704,4982.203704,4982.203704,4980.110358,4980.110358,4980.110358
outer_holdout_80009_negative,3453.699356,1770.979515,3453.699356,1777.821221,3460.541062,3460.541062
outer_holdout_80009_positive,3397.868515,1703.070931,3397.868515,1704.361105,3399.989237,3399.989237
outer_holdout_80009_smooth,3409.848563,1715.966516,3409.848563,1723.559801,3416.926838,3416.926838
outer_holdout_80009_spatial_hash,3405.189895,1724.176614,3405.189895,1725.166834,3405.92008,3405.92008
outer_holdout_80010_negative,4706.171003,4706.171003,4706.171003,4722.482856,4722.482856,4722.482856
outer_holdout_80010_positive,4425.976878,4425.976878,4425.976878,4433.827004,4433.827004,4433.827004
outer_holdout_80010_smooth,4603.233633,4603.233633,4603.233633,4603.207575,4603.207575,4603.207575
outer_holdout_80010_spatial_hash,4462.910417,4462.910417,4462.910417,4467.119851,4467.119851,4467.119851
outer_holdout_80011_negative,3260.003688,3260.003688,3260.003688,3298.106414,3298.106414,3298.106414
outer_holdout_80011_positive,3122.87318,3122.87318,3122.87318,3122.228876,3122.228876,3122.228876
outer_holdout_80011_smooth,3158.498168,3158.498168,3158.498168,3158.498168,3158.498168,3158.498168
outer_holdout_80011_spatial_hash,3215.480808,3215.480808,3215.480808,3215.75124,3215.75124,3215.75124
outer_holdout_80012_negative,4340.299669,4340.299669,4340.299669,4352.039417,4352.039417,4352.039417
outer_holdout_80012_positive,4585.538814,4585.538814,4585.538814,4587.972292,4587.972292,4587.972292
outer_holdout_80012_smooth,4331.584801,4331.584801,4331.584801,4328.65837,4328.65837,4328.65837
outer_holdout_80012_spatial_hash,4308.678156,4308.678156,4308.678156,4311.721541,4311.721541,4311.721541
outer_holdout_80013_negative,3439.498565,3439.498565,3439.498565,3439.498565,3439.498565,3439.498565
outer_holdout_80013_positive,3268.530584,3268.530584,3268.530584,3268.530584,3268.530584,3268.530584
outer_holdout_80013_smooth,3347.189228,3347.189228,3347.189228,3347.189228,3347.189228,3347.189228
outer_holdout_80013_spatial_hash,3297.144701,3297.144701,3297.144701,3297.144701,3297.144701,3297.144701
outer_holdout_80014_negative,5208.516639,5208.516639,5208.516639,5208.516639,5208.516639,5208.516639
outer_holdout_80014_positive,5127.558896,5127.558896,5127.558896,5127.558896,5127.558896,5127.558896
outer_holdout_80014_smooth,5201.427739,5201.427739,5201.427739,5201.427739,5201.427739,5201.427739
outer_holdout_80014_spatial_hash,5148.365437,5148.365437,5148.365437,5148.365437,5148.365437,5148.365437
outer_holdout_80015_negative,2874.570988,2874.570988,2874.570988,2874.570988,2874.570988,2874.570988
outer_holdout_80015_positive,2878.007782,2878.007782,2878.007782,2878.007782,2878.007782,2878.007782
outer_holdout_80015_smooth,2877.17308,2877.17308,2877.17308,2877.17308,2877.17308,2877.17308
outer_holdout_80015_spatial_hash,2884.711385,2884.711385,2884.711385,2884.711385,2884.711385,2884.711385
outer_holdout_80016_negative,4626.88426,4626.88426,4626.88426,4647.414584,4647.414584,4647.414584
