case_id,J,REF,Z
outer_holdout_120000_negative,4502.746984,4502.746984,4618.102165
outer_holdout_120000_positive,4627.27165,4627.27165,4711.641437
outer_holdout_120000_smooth,4481.443664,4481.443664,4584.834379
outer_holdout_120000_spatial_hash,4640.74036,4640.74036,4720.198352
outer_holdout_120001_negative,3373.810442,3373.810442,3373.810442
outer_holdout_120001_positive,3201.324307,3201.324307,3201.324307
outer_holdout_120001_smooth,3161.56724,3161.56724,3161.56724
outer_holdout_120001_spatial_hash,3238.304924,3238.304924,3238.304924
outer_holdout_120002_negative,4519.882165,4519.882165,4509.175716
outer_holdout_120002_positive,4427.330073,4427.330073,4421.574949
outer_holdout_120002_smooth,4676.853514,4676.853514,4582.784889
outer_holdout_120002_spatial_hash,4212.450002,4212.450002,4184.590678
outer_holdout_120003_negative,3657.755688,3657.755688,3657.755688
outer_holdout_120003_positive,3504.943575,3504.943575,3504.943575
outer_holdout_120003_smooth,3577.329575,3577.329575,3577.329575
outer_holdout_120003_spatial_hash,3489.475716,3489.475716,3489.475716
outer_holdout_120004_negative,5866.45783,5866.45783,5674.628314
outer_holdout_120004_positive,5892.330132,5894.825699,5746.192199
outer_holdout_120004_smooth,5643.931855,5645.53848,5598.738089
outer_holdout_120004_spatial_hash,5457.875303,5457.875303,5349.580004
outer_holdout_120005_negative,3112.8025,3112.8025,3112.8025
outer_holdout_120005_positive,3086.920015,3086.920015,3086.920015
outer_holdout_120005_smooth,3096.431483,3096.431483,3096.431483
outer_holdout_120005_spatial_hash,3123.053314,3123.053314,3123.053314
outer_holdout_120006_negative,5784.661629,5784.661629,5559.800686
outer_holdout_120006_positive,5344.423559,5344.423559,5339.923193
outer_holdout_120006_smooth,6043.701982,6043.701982,5939.073356
outer_holdout_120006_spatial_hash,6055.355484,6055.355484,5918.937943
outer_holdout_120007_negative,3398.255985,3398.255985,3398.255985
outer_holdout_120007_positive,3299.834819,3299.834819,3299.834819
outer_holdout_120007_smooth,3352.485623,3352.485623,3352.485623
outer_holdout_120007_spatial_hash,3315.041221,3315.041221,3315.041221
outer_holdout_120008_negative,4934.64345,4934.64345,4980.825514
outer_holdout_120008_positive,5166.472172,5166.472172,5116.422956
outer_holdout_120008_smooth,5314.269384,5314.269384,5268.084028
outer_holdout_120008_spatial_hash,4845.589858,4845.589858,5150.415311
outer_holdout_120009_negative,3376.365988,3376.365988,3376.365988
outer_holdout_120009_positive,3222.354088,3222.354088,3222.354088
outer_holdout_120009_smooth,3248.990009,3248.990009,3248.990009
outer_holdout_120009_spatial_hash,3267.699255,3267.699255,3267.699255
outer_holdout_120010_negative,6221.406255,6221.406255,6009.772208
outer_holdout_120010_positive,5440.079325,5440.079325,5500.200656
outer_holdout_120010_smooth,5222.92751,5222.92751,5211.718575
outer_holdout_120010_spatial_hash,5365.532444,5365.532444,5514.661235
outer_holdout_120011_negative,2813.533199,2813.533199,2813.533199
outer_holdout_120011_positive,2872.494211,2872.494211,2872.494211
outer_holdout_120011_smooth,2673.669445,2673.669445,2673.669445
outer_holdout_120011_spatial_hash,2698.192098,2698.192098,2698.192098
outer_holdout_120012_negative,5978.824958,5978.824958,5937.527034
outer_holdout_120012_positive,5892.044073,5928.938778,5878.470167
outer_holdout_120012_smooth,5882.795779,5916.876808,5882.795779
outer_holdout_120012_spatial_hash,5251.071418,5280.58378,5251.071418
outer_holdout_120013_negative,3278.758122,3278.758122,3278.758122
outer_holdout_120013_positive,3120.036574,3120.036574,3120.036574
outer_holdout_120013_smooth,3244.680744,3244.680744,3244.680744
outer_holdout_120013_spatial_hash,3230.009735,3230.009735,3230.009735
outer_holdout_120014_negative,4554.756344,4554.756344,4620.786285
outer_holdout_120014_positive,5027.049817,5027.049817,4999.073184
outer_holdout_120014_smooth,4561.999037,4561.999037,4721.496547
outer_holdout_120014_spatial_hash,5156.548857,5156.548857,5156.548857
outer_holdout_120015_negative,3627.520916,3627.520916,3627.520916
outer_holdout_120015_positive,3377.613825,3377.613825,3377.613825
outer_holdout_120015_smooth,3405.980412,3405.980412,3405.980412
outer_holdout_120015_spatial_hash,3396.144241,3396.144241,3396.144241
outer_holdout_120016_negative,5082.630277,5137.398276,5053.273197
outer_holdout_120016_positive,5428.96239,5428.96239,5428.96239
outer_holdout_120016_smooth,5141.275462,5630.006172,5141.275462
outer_holdout_120016_spatial_hash,5400.48372,5400.48372,5400.48372
outer_holdout_120017_negative,3150.272018,3150.272018,3150.272018
outer_holdout_120017_positive,3050.580027,3050.580027,3050.580027
outer_holdout_120017_smooth,3015.518103,3015.518103,3015.518103
outer_holdout_120017_spatial_hash,3077.088278,3077.088278,3077.088278
outer_holdout_120018_negative,4507.865479,4507.865479,4507.865479
outer_holdout_120018_positive,3892.183814,3892.183814,3892.183814
outer_holdout_120018_smooth,3852.084858,3852.084858,3852.084858
outer_holdout_120018_spatial_hash,4445.32739,4445.32739,4445.32739
outer_holdout_120019_negative,3299.737576,3299.737576,3299.737576
outer_holdout_120019_positive,3234.792632,3234.792632,3234.792632
outer_holdout_120019_smooth,3267.790275,3267.790275,3267.790275
outer_holdout_120019_spatial_hash,3214.321784,3214.321784,3214.321784
