case_id,J,REF,Z
outer_holdout_120000_negative,4505.829293,4505.829293,4593.376451
outer_holdout_120000_positive,4483.281637,4483.281637,4567.628784
outer_holdout_120000_smooth,4481.480556,4481.480556,4584.871271
outer_holdout_120000_spatial_hash,4640.74036,4640.74036,4720.198352
outer_holdout_120001_negative,3218.737191,3218.737191,3218.737191
outer_holdout_120001_positive,3173.424425,3173.424425,3173.424425
outer_holdout_120001_smooth,3161.592611,3161.592611,3161.592611
outer_holdout_120001_spatial_hash,3238.304924,3238.304924,3238.304924
outer_holdout_120002_negative,4272.209853,4272.209853,4264.022762
outer_holdout_120002_positive,4662.081942,4662.081942,4609.39363
outer_holdout_120002_smooth,4149.220995,4149.220995,4126.799519
outer_holdout_120002_spatial_hash,4212.450002,4212.450002,4184.590678
outer_holdout_120003_negative,3661.358208,3661.358208,3661.358208
outer_holdout_120003_positive,3504.939674,3504.939674,3504.939674
outer_holdout_120003_smooth,3577.329575,3577.329575,3577.329575
outer_holdout_120003_spatial_hash,3489.475716,3489.475716,3489.475716
outer_holdout_120004_negative,6154.060056,6154.060056,6073.863099
outer_holdout_120004_positive,5787.702762,5787.702762,5641.431739
outer_holdout_120004_smooth,5643.931855,5645.53848,5598.738089
outer_holdout_120004_spatial_hash,5457.875303,5457.875303,5349.580004
outer_holdout_120005_negative,3151.808823,3151.808823,3151.808823
outer_holdout_120005_positive,3086.857131,3086.857131,3086.857131
outer_holdout_120005_smooth,3096.431483,3096.431483,3096.431483
outer_holdout_120005_spatial_hash,3123.053314,3123.053314,3123.053314
outer_holdout_120006_negative,5556.139307,5556.139307,5453.439463
outer_holdout_120006_positive,5398.144896,5398.144896,5393.687386
outer_holdout_120006_smooth,6043.701982,6043.701982,5939.073356
outer_holdout_120006_spatial_hash,6055.355484,6055.355484,5918.937943
outer_holdout_120007_negative,3411.631753,3411.631753,3411.631753
outer_holdout_120007_positive,3317.523999,3317.523999,3317.523999
outer_holdout_120007_smooth,3352.485623,3352.485623,3352.485623
outer_holdout_120007_spatial_hash,3315.041221,3315.041221,3315.041221
outer_holdout_120008_negative,4934.511618,4934.511618,4980.741726
outer_holdout_120008_positive,4742.848623,4742.848623,5174.836495
outer_holdout_120008_smooth,5314.269384,5314.269384,5268.084028
outer_holdout_120008_spatial_hash,4845.589858,4845.589858,5150.415311
outer_holdout_120009_negative,3376.315215,3376.315215,3376.315215
outer_holdout_120009_positive,3212.234646,3212.234646,3212.234646
outer_holdout_120009_smooth,3248.990009,3248.990009,3248.990009
outer_holdout_120009_spatial_hash,3267.699255,3267.699255,3267.699255
outer_holdout_120010_negative,5964.292909,5970.216511,6284.061161
outer_holdout_120010_positive,5073.002946,5073.002946,5503.511703
outer_holdout_120010_smooth,5222.92751,5222.92751,5211.718575
outer_holdout_120010_spatial_hash,5291.848815,5291.848815,5440.977606
outer_holdout_120011_negative,2706.32362,2706.32362,2706.32362
outer_holdout_120011_positive,2872.46627,2872.46627,2872.46627
outer_holdout_120011_smooth,2673.669445,2673.669445,2673.669445
outer_holdout_120011_spatial_hash,2698.192098,2698.192098,2698.192098
outer_holdout_120012_negative,5981.647321,5981.647321,5940.383413
outer_holdout_120012_positive,5891.841268,5928.748579,5878.239838
outer_holdout_120012_smooth,5882.857986,5916.939015,5882.857986
outer_holdout_120012_spatial_hash,5251.071418,5280.58378,5251.071418
outer_holdout_120013_negative,3315.759947,3315.759947,3315.759947
outer_holdout_120013_positive,3096.781506,3096.781506,3096.781506
outer_holdout_120013_smooth,3244.680744,3244.680744,3244.680744
outer_holdout_120013_spatial_hash,3230.009735,3230.009735,3230.009735
outer_holdout_120014_negative,4554.728396,4554.728396,4620.863619
outer_holdout_120014_positive,4696.567222,4696.567222,4756.232277
outer_holdout_120014_smooth,4561.993054,4561.993054,4721.490564
outer_holdout_120014_spatial_hash,5156.548857,5156.548857,5156.548857
outer_holdout_120015_negative,3627.439895,3627.439895,3627.439895
outer_holdout_120015_positive,3375.673478,3375.673478,3375.673478
outer_holdout_120015_smooth,3386.809855,3386.809855,3386.809855
outer_holdout_120015_spatial_hash,3396.144241,3396.144241,3396.144241
outer_holdout_120016_negative,5085.507089,5140.240729,5056.149937
outer_holdout_120016_positive,5356.69074,5356.69074,5356.69074
outer_holdout_120016_smooth,5478.708075,5490.896967,5478.708075
outer_holdout_120016_spatial_hash,5400.48372,5400.48372,5400.48372
outer_holdout_120017_negative,3087.831867,3087.831867,3087.831867
outer_holdout_120017_positive,3050.593275,3050.593275,3050.593275
outer_holdout_120017_smooth,3015.50545,3015.50545,3015.50545
outer_holdout_120017_spatial_hash,3077.088278,3077.088278,3077.088278
outer_holdout_120018_negative,4507.868693,4507.868693,4507.868693
outer_holdout_120018_positive,4437.17876,4437.17876,4437.17876
outer_holdout_120018_smooth,3852.084858,3852.084858,3852.084858
outer_holdout_120018_spatial_hash,4445.32739,4445.32739,4445.32739
outer_holdout_120019_negative,3299.693422,3299.693422,3299.693422
outer_holdout_120019_positive,3250.755273,3250.755273,3250.755273
outer_holdout_120019_smooth,3267.790275,3267.790275,3267.790275
outer_holdout_120019_spatial_hash,3214.321784,3214.321784,3214.321784
