case_id,J,JL,REF,Z,ZL
outer_holdout_140000_negative,4497.112885,4497.112885,4497.112885,4536.030351,4387.949064
outer_holdout_140000_positive,4411.10506,4411.10506,4411.10506,4444.466641,4292.597951
outer_holdout_140000_smooth,4506.814963,4506.814963,4506.814963,4506.814963,4506.814963
outer_holdout_140000_spatial_hash,4408.246881,4408.246881,4408.246881,4637.094216,4408.246881
outer_holdout_140001_negative,3021.378082,3021.378082,3021.378082,3021.378082,3021.378082
outer_holdout_140001_positive,3033.293337,3033.293337,3033.293337,3033.293337,3033.293337
outer_holdout_140001_smooth,3027.349966,3027.349966,3027.349966,3027.349966,3027.349966
outer_holdout_140001_spatial_hash,3043.137444,3043.137444,3043.137444,3043.137444,3043.137444
outer_holdout_140002_negative,5282.575103,5282.575103,5282.575103,5515.779285,5325.159662
outer_holdout_140002_positive,5222.858155,5222.858155,5222.858155,5217.982551,5213.23249
outer_holdout_140002_smooth,5304.754677,5304.754677,5304.754677,5364.762424,5333.141693
outer_holdout_140002_spatial_hash,5033.004845,5033.004845,5033.004845,5108.380981,4980.553122
outer_holdout_140003_negative,3449.245375,3449.245375,3449.245375,3449.245375,3449.245375
outer_holdout_140003_positive,3316.477936,3316.477936,3316.477936,3316.477936,3316.477936
outer_holdout_140003_smooth,3345.29217,3345.29217,3345.29217,3345.29217,3345.29217
outer_holdout_140003_spatial_hash,3311.063659,3311.063659,3311.063659,3311.063659,3311.063659
outer_holdout_140004_negative,4909.187036,4909.187036,4912.688963,4922.252112,4909.187036
outer_holdout_140004_positive,4744.721874,4744.721874,4744.721874,4792.549898,4712.667439
outer_holdout_140004_smooth,4871.014624,4871.014624,4872.233296,4915.608142,4836.465236
outer_holdout_140004_spatial_hash,4772.811791,4772.811791,4772.811791,4772.811791,4772.811791
outer_holdout_140005_negative,1167.684638,1167.684638,1167.684638,1167.684638,1167.684638
outer_holdout_140005_positive,1050.219296,1050.219296,1050.219296,1050.219296,1050.219296
outer_holdout_140005_smooth,1042.049014,1042.049014,1042.049014,1042.049014,1042.049014
