case_id,J,JL,REF,Z,ZL
outer_holdout_140000_negative,4485.004197,4485.004197,4485.004197,4630.421914,4485.004197
outer_holdout_140000_positive,4278.502946,4278.502946,4278.502946,4311.869994,4159.981802
outer_holdout_140000_smooth,4506.814963,4506.814963,4506.814963,4506.814963,4506.814963
outer_holdout_140000_spatial_hash,4408.246881,4408.246881,4408.246881,4637.094216,4408.246881
outer_holdout_140001_negative,3042.098066,3042.098066,3042.098066,3042.098066,3042.098066
outer_holdout_140001_positive,3034.308948,3034.308948,3034.308948,3034.308948,3034.308948
outer_holdout_140001_smooth,3027.349966,3027.349966,3027.349966,3027.349966,3027.349966
outer_holdout_140001_spatial_hash,3043.137444,3043.137444,3043.137444,3043.137444,3043.137444
outer_holdout_140002_negative,5221.097617,5221.097617,5221.097617,5349.358996,5179.244734
outer_holdout_140002_positive,4988.925494,4988.925494,4988.925494,5069.079522,4944.223405
outer_holdout_140002_smooth,5304.754677,5304.754677,5304.754677,5364.704445,5333.141693
outer_holdout_140002_spatial_hash,5033.004845,5033.004845,5033.004845,5108.380981,4980.553122
outer_holdout_140003_negative,3449.307764,3449.307764,3449.307764,3449.307764,3449.307764
outer_holdout_140003_positive,3316.465641,3316.465641,3316.465641,3316.465641,3316.465641
outer_holdout_140003_smooth,3345.29217,3345.29217,3345.29217,3345.29217,3345.29217
outer_holdout_140003_spatial_hash,3311.063659,3311.063659,3311.063659,3311.063659,3311.063659
outer_holdout_140004_negative,4840.597025,4840.597025,4840.597025,4833.775406,4818.242062
outer_holdout_140004_positive,4761.490249,4761.490249,4761.490249,4692.817175,4692.817175
outer_holdout_140004_smooth,4871.015986,4871.015986,4872.234658,4915.609504,4836.466598
outer_holdout_140004_spatial_hash,4772.811791,4772.811791,4772.811791,4772.811791,4772.811791
outer_holdout_140005_negative,1125.489451,1125.489451,1125.489451,1125.489451,1125.489451
outer_holdout_140005_positive,1050.274485,1050.274485,1050.274485,1050.274485,1050.274485
outer_holdout_140005_smooth,1042.048011,1042.048011,1042.048011,1042.048011,1042.048011
outer_holdout_140005_spatial_hash,1041.189004,1041.189004,1041.189004,1041.189004,1041.189004
outer_holdout_140006_negative,4719.45997,4719.45997,4719.45997,4541.86179,4541.86179
outer_holdout_140006_positive,4655.202576,4655.202576,4655.202576,4629.966061,4629.966061
outer_holdout_140006_smooth,4550.071652,4550.071652,4550.071652,4527.24556,4527.24556
outer_holdout_140006_spatial_hash,4728.289322,4728.289322,4728.289322,4703.581093,4703.581093
outer_holdout_140007_negative,1912.137925,1912.137925,1912.137925,1912.137925,1912.137925
outer_holdout_140007_positive,1667.455605,1667.455605,1667.455605,1667.455605,1667.455605
outer_holdout_140007_smooth,1933.260094,1933.260094,1933.260094,1933.260094,1933.260094
outer_holdout_140007_spatial_hash,1734.108993,1734.108993,1734.108993,1734.108993,1734.108993
outer_holdout_140008_negative,5035.326581,5035.326581,5047.495052,5035.326581,5035.326581
outer_holdout_140008_positive,4828.984335,4828.984335,4846.81631,4751.742417,4751.742417
outer_holdout_140008_smooth,5077.601647,5077.601647,5077.601647,5143.793371,5040.208322
outer_holdout_140008_spatial_hash,4765.524221,4765.524221,4783.987207,4722.049033,4722.049033
outer_holdout_140009_negative,2846.148642,2846.148642,2846.148642,2846.148642,2846.148642
outer_holdout_140009_positive,2699.634709,2699.634709,2699.634709,2699.634709,2699.634709
outer_holdout_140009_smooth,2729.200344,2729.200344,2729.200344,2729.200344,2729.200344
outer_holdout_140009_spatial_hash,2692.86768,2692.86768,2692.86768,2692.86768,2692.86768
outer_holdout_140010_negative,4559.740036,4559.740036,4712.130282,4385.427477,4497.462674
outer_holdout_140010_positive,5248.327387,5248.327387,5248.327387,4881.69564,5248.327387
outer_holdout_140010_smooth,4591.058433,4591.058433,4750.859475,4472.201039,4472.201039
outer_holdout_140010_spatial_hash,4650.582503,4650.582503,4650.582503,4686.999194,4553.958712
outer_holdout_140011_negative,3156.496737,3156.496737,3156.496737,3156.496737,3156.496737
outer_holdout_140011_positive,3012.472303,3012.472303,3012.472303,3012.472303,3012.472303
outer_holdout_140011_smooth,3124.090445,3124.090445,3124.090445,3124.090445,3124.090445
outer_holdout_140011_spatial_hash,3047.395612,3047.395612,3047.395612,3047.395612,3047.395612
outer_holdout_140012_negative,4398.974241,4398.974241,4398.974241,4276.828387,4276.828387
outer_holdout_140012_positive,4567.923122,4567.923122,4567.923122,4468.136145,4468.136145
outer_holdout_140012_smooth,5154.907479,5154.907479,5154.907479,4763.883616,5142.37272
outer_holdout_140012_spatial_hash,4422.11718,4422.11718,4422.11718,4306.291533,4306.291533
outer_holdout_140013_negative,3533.906033,3533.906033,3533.906033,3533.906033,3533.906033
outer_holdout_140013_positive,3225.578251,3225.578251,3225.578251,3225.578251,3225.578251
outer_holdout_140013_smooth,3311.713684,3311.713684,3311.713684,3311.713684,3311.713684
outer_holdout_140013_spatial_hash,3358.340003,3358.340003,3358.340003,3358.340003,3358.340003
outer_holdout_140014_negative,5672.918343,5672.918343,5676.866857,5762.062336,5650.116327
outer_holdout_140014_positive,5620.890127,5620.890127,5629.804884,5718.53727,5588.865529
outer_holdout_140014_smooth,5212.232875,5212.232875,5219.718654,5196.632698,5196.632698
outer_holdout_140014_spatial_hash,5610.680548,5610.680548,5616.936992,5696.398235,5587.393983
outer_holdout_140015_negative,3091.899982,3091.899982,3091.899982,3091.899982,3091.899982
outer_holdout_140015_positive,3076.250018,3076.250018,3076.250018,3076.250018,3076.250018
outer_holdout_140015_smooth,3214.193385,3214.193385,3214.193385,3214.193385,3214.193385
outer_holdout_140015_spatial_hash,3090.543072,3090.543072,3090.543072,3090.543072,3090.543072
outer_holdout_140016_negative,5522.139138,5522.139138,5468.97409,5516.458874,5372.124883
outer_holdout_140016_positive,4405.14838,4405.14838,4420.411025,4275.076617,4275.076617
