layout_id,seed,family,error_mode,rounding,case_id,BASE,PARALLAX,ADAPT_SHARED,ADAPT_GATED,PAIR_GATED,ADAPT_SHADOW,ADAPT_VALUE_GATE,ADAPT_ENTRY
cluster_0cc29f41ef7b2fa6,191082,cluster,negative,bounded,cluster_0cc29f41ef7b2fa6__negative__bounded,6521.778195,6280.989139,6330.584904,6313.210924,6186.539517,6313.210924,6313.210924,6313.210924
cluster_0cc29f41ef7b2fa6,191082,cluster,negative,pre_round_stress,cluster_0cc29f41ef7b2fa6__negative__pre_round_stress,6521.88573,6281.043379,6330.723642,6313.312715,6186.718924,6313.312715,6313.312715,6313.312715
cluster_0cc29f41ef7b2fa6,191082,cluster,positive,bounded,cluster_0cc29f41ef7b2fa6__positive__bounded,6282.780311,6338.586004,6294.227806,6279.449047,6221.386404,6279.449047,6268.747953,6279.449047
cluster_0cc29f41ef7b2fa6,191082,cluster,positive,pre_round_stress,cluster_0cc29f41ef7b2fa6__positive__pre_round_stress,6282.638036,6338.800613,6294.184075,6279.363376,6221.308146,6279.363376,6268.662282,6279.363376
cluster_0cc29f41ef7b2fa6,191082,cluster,smooth,bounded,cluster_0cc29f41ef7b2fa6__smooth__bounded,6253.871251,6290.303826,6280.684284,6246.934046,6171.441012,6246.934046,6236.321121,6246.934046
cluster_0cc29f41ef7b2fa6,191082,cluster,smooth,pre_round_stress,cluster_0cc29f41ef7b2fa6__smooth__pre_round_stress,6253.871251,6290.303826,6280.687207,6246.934046,6171.441012,6246.934046,6236.321121,6246.934046
cluster_0cc29f41ef7b2fa6,191082,cluster,spatial_hash,bounded,cluster_0cc29f41ef7b2fa6__spatial_hash__bounded,6292.588363,6337.408613,6359.0822,6289.209684,6210.879614,6289.209684,6289.209684,6289.209684
cluster_0cc29f41ef7b2fa6,191082,cluster,spatial_hash,pre_round_stress,cluster_0cc29f41ef7b2fa6__spatial_hash__pre_round_stress,6292.588363,6337.408613,6359.0822,6289.209684,6210.879614,6289.209684,6289.209684,6289.209684
cluster_16bc5cb78169284b,191058,cluster,negative,bounded,cluster_16bc5cb78169284b__negative__bounded,6749.673486,6557.931557,6090.432806,6060.799275,5992.055708,6060.799275,6054.945385,6043.443047
cluster_16bc5cb78169284b,191058,cluster,negative,pre_round_stress,cluster_16bc5cb78169284b__negative__pre_round_stress,6732.768522,6555.908829,6090.227512,6060.589832,5992.050266,6060.589832,6054.738477,6043.213269
cluster_16bc5cb78169284b,191058,cluster,positive,bounded,cluster_16bc5cb78169284b__positive__bounded,6383.473584,6363.419954,6004.587514,5985.926831,6055.744936,5985.926831,5979.142013,5985.926831
cluster_16bc5cb78169284b,191058,cluster,positive,pre_round_stress,cluster_16bc5cb78169284b__positive__pre_round_stress,6383.454,6363.474521,6004.724663,5986.019324,6055.748143,5986.019324,5979.232363,5986.019324
cluster_16bc5cb78169284b,191058,cluster,smooth,bounded,cluster_16bc5cb78169284b__smooth__bounded,6374.035416,6367.294339,6023.849929,6006.566106,6010.536542,6006.566106,6006.566106,6006.566106
cluster_16bc5cb78169284b,191058,cluster,smooth,pre_round_stress,cluster_16bc5cb78169284b__smooth__pre_round_stress,6374.035416,6367.294339,6023.849929,6006.566106,6010.539226,6006.566106,6006.566106,6006.566106
cluster_16bc5cb78169284b,191058,cluster,spatial_hash,bounded,cluster_16bc5cb78169284b__spatial_hash__bounded,6363.998401,6180.360921,6019.084626,5999.374335,6049.015166,5999.374335,5992.820714,5999.374335
cluster_16bc5cb78169284b,191058,cluster,spatial_hash,pre_round_stress,cluster_16bc5cb78169284b__spatial_hash__pre_round_stress,6363.998401,6180.360921,6019.084626,5999.374335,6049.015166,5999.374335,5992.820714,5999.374335
cluster_31296b5033722470,191112,cluster,negative,bounded,cluster_31296b5033722470__negative__bounded,5768.797872,5581.038852,5610.410099,5523.512518,5481.75267,5523.512518,5523.512518,5523.512518
