final_main
BASE 11594.58 -64.914 [-69.573, -60.223]
FINAL 7030.67 0.0 [0.0, 0.0]
NO_COMPACT 6859.78 2.431 [-1.121, 5.832]
NO_ROUTE 8355.28 -18.84 [-21.472, -16.39]
NO_CENTROID 7482.35 -6.424 [-8.433, -4.464]
NO_INFO 7077.5 -0.666 [-0.825, -0.519]
RELOCATE 6997.92 0.466 [-0.203, 1.133]
COST 7115.9 -1.212 [-2.755, 0.342]
PROBE 7215.58 -2.63 [-3.583, -1.782]
final_rounding
BASE 11533.12 -63.089 [-66.752, -59.361]
FINAL 7071.66 0.0 [0.0, 0.0]
NO_COMPACT 6811.58 3.678 [1.111, 6.102]
NO_ROUTE 8259.77 -16.801 [-18.986, -14.648]
NO_CENTROID 7355.28 -4.011 [-5.576, -2.448]
NO_INFO 7128.42 -0.803 [-1.017, -0.602]
RELOCATE 7014.87 0.803 [0.109, 1.56]
COST 7152.7 -1.146 [-2.503, 0.249]
PROBE 7283.54 -2.996 [-4.04, -2.084]
