round9_main
BASE 11416.24 -71.909 [-76.175, -67.65]
FINAL 6640.86 0.0 [0.0, 0.0]
COMPACT22 6988.97 -5.242 [-8.702, -1.992]
NO_CENTROID 7510.55 -13.096 [-16.041, -10.26]
NO_INFO 6947.04 -4.611 [-5.424, -3.84]
RELOCATE 6584.03 0.856 [0.295, 1.405]
COST 7353.57 -10.732 [-13.59, -7.938]
PROBE 6661.44 -0.31 [-1.01, 0.35]
REFINE 6729.73 -1.338 [-2.191, -0.518]
round9_rounding
BASE 11393.93 -70.194 [-74.791, -65.825]
FINAL 6694.69 0.0 [0.0, 0.0]
COMPACT22 6921.95 -3.395 [-6.038, -0.945]
NO_CENTROID 7491.55 -11.903 [-14.961, -9.045]
NO_INFO 7000.25 -4.564 [-5.371, -3.837]
RELOCATE 6684.77 0.148 [-0.451, 0.746]
COST 7331.65 -9.514 [-12.648, -6.671]
PROBE 6763.11 -1.022 [-1.66, -0.406]
REFINE 6782.18 -1.307 [-2.041, -0.637]
